Years,States,Total women with births,Birth rate,General fertility rate,Total fertility rate,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Percent of women in labor force,Teenage pregnancy,Teenage birth Rate
2016,Hawaii,20121,14.2,62.4,2.25,38203,76371,112652,66565,28618,73,636,16
2016,Idaho,22319,13.6,59.8,2.15,64407,87170,140275,61424,19883,69.2,884,16
2016,Illinois,157783,12.3,50.6,1.82,510243,606910,989644,658186,350786,74.1,6567,16
2016,Indiana,85814,13.0,55.2,1.99,281201,366496,535005,268614,103148,73,4409,20
2016,Iowa,41109,13.2,58.6,2.11,102099,131882,273416,142479,51615,79.5,1515,15
2016,Kansas,40033,13.8,60.2,2.17,110801,122918,238152,132830,60667,74.7,1960,20
2016,Kentucky,55667,12.6,53.8,1.94,176647,253711,368117,151086,85107,70.2,3333,24
2016,Louisiana,60733,13.1,54.1,1.95,212487,295223,368700,175338,71811,69.5,3392,23
2016,Maine,13554,10.2,46.3,1.67,37390,71729,101104,58285,24120,76.1,452,11
2016,Maryland,74732,12.5,50.9,1.83,214350,289962,435086,308234,219456,76.6,2987,16
2016,Massachusetts,74631,11.1,44.7,1.61,226927,304937,472770,399573,264878,76.7,1801,8
2016,Michigan,119371,12.0,52.0,1.87,365233,475746,860963,396629,198712,73,5752,17
2016,Minnesota,73145,13.4,57.6,2.08,181527,205057,452938,301526,127885,81.1,2355,13
2016,Mississippi,38127,12.8,53.2,1.91,132615,165224,275387,95832,48211,67.7,2544,24
2016,Missouri,76475,12.6,54.1,1.95,228514,306305,490933,258473,128720,74.4,3949,20
2016,Montana,11585,11.3,52.2,1.88,31890,51054,78015,43668,17457,75,395,13
2016,Nebraska,27484,14.6,63.6,2.29,70475,73258,159605,91600,37355,78.9,818,13
2016,Nevada,35200,12.4,51.8,1.86,144516,170680,229999,94420,40315,72.3,1529,18
2016,New Hampshire,14773,11.1,48.6,1.75,38838,64560,99626,67377,33709,77.3,484,11
2016,New Jersey,103847,11.6,48.9,1.76,327342,442531,582528,507689,265460,72.7,2373,8
2016,New Mexico,26395,12.7,55.5,2.00,98935,102412,174964,62918,36279,67.4,1703,25
2016,New York,230560,11.7,47.2,1.70,819165,950634,1411726,1036380,671150,71.3,7451,12
2016,North Carolina,123050,12.4,51.1,1.84,410126,467061,855504,464294,209455,71.7,6076,19
2016,North Dakota,11409,15.5,68.1,2.45,20039,30842,66284,38549,11765,79.7,560,24
2016,Ohio,141349,12.2,52.8,1.90,426383,629070,916596,468252,236189,74.6,6319,17
2016,Oklahoma,52506,13.5,58.2,2.09,166092,225851,310710,146511,53702,69.2,3205,26
