Years,States,Total women with births,Birth rate,General fertility rate,Total fertility rate,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Percent of women in labor force,Teenage pregnancy,Teenage birth Rate
2012,Louisiana,66111,14.6,58.7,2.11,227500,309690,365314,163995,59860,69.8,5340,34
2012,Maine,14482,10.9,47.0,1.69,40353,83799,106226,55373,22172,76.5,819,19
2012,Maryland,81265,14.0,54.9,1.97,224548,311513,447811,302833,194641,77.4,4058,21
2012,Massachusetts,79176,12.1,47.4,1.71,235481,317832,494815,389667,231482,76.2,3120,14
2012,Michigan,123716,12.5,52.0,1.87,394305,529991,892975,382833,178223,73.2,8121,23
2012,Minnesota,76531,14.4,59.2,2.13,184523,230451,474975,291082,110737,80.7,3340,19
2012,Mississippi,44253,14.9,60.3,2.17,147538,174792,277857,93522,40588,67.9,4180,38
2012,Missouri,81860,13.7,56.6,2.04,250970,335066,497482,247056,115008,75.1,5629,27
2012,Montana,13037,13.2,58.1,2.09,34258,52447,80780,43141,13594,75.4,825,26
2012,Nebraska,27781,15.2,64.1,2.31,69007,83605,163259,85430,32039,79.9,1437,23
2012,Nevada,39625,14.7,59.7,2.15,150024,167905,221375,89722,34712,72.7,2553,29
2012,New Hampshire,14452,11.0,45.3,1.63,42589,71739,107551,67219,29933,77.6,463,10
2012,New Jersey,116203,13.2,53.5,1.93,343123,487056,603198,498755,238800,73.1,4091,14
2012,New Mexico,29480,14.3,60.6,2.18,107628,107914,175573,62295,32760,68.7,3168,44
2012,New York,248974,12.8,50.3,1.81,879015,1005790,1463677,989929,613457,71.2,11210,17
2012,North Carolina,134256,14.1,56.4,2.03,425880,491398,853128,437863,170421,72.2,10238,32
2012,North Dakota,9978,14.8,63.0,2.27,19316,29101,65587,34488,9784,81.3,434,19
2012,Ohio,149929,13.0,54.3,1.96,456033,702385,951455,444594,205563,74.6,9960,25
2012,Oklahoma,54379,14.5,60.7,2.19,167298,231098,312074,139100,45687,70,4492,35
2012,Oregon,49970,13.0,54.5,1.96,158647,188650,333025,161532,74192,72.8,2441,20
2012,Pennsylvania,152277,12.0,50.3,1.81,467815,814312,924390,552890,265962,73.1,9394,21
2012,Rhode Island,12550,11.9,47.4,1.71,42079,55548,92692,50399,23880,76.1,727,18
2012,South Carolina,65588,14.2,57.9,2.08,203604,280893,398067,172964,77227,71.8,5413,34
2012,South Dakota,12077,14.8,64.5,2.32,30512,41539,69076,34958,11026,79.9,652,23
2012,Tennessee,94675,14.9,60.6,2.18,274120,428235,505728,246998,106440,70.7,7066,34
2012,Texas,411804,16.3,64.3,2.32,1480835,1421895,2064935,1043922,390652,68.3,37849,42
2012,Utah,54089,19.6,77.6,2.79,118981,147696,277788,119543,33408,69.5,2122,20
2012,Vermont,6317,10.1,42.4,1.53,18907,34332,49868,31264,14621,77.8,274,12
2012,Virginia,109017,13.6,53.6,1.93,312353,419379,647015,425277,229457,73.8,5236,19
2012,Washington,94898,14.1,57.3,2.06,277755,330886,596717,309346,140060,71.8,4844,22
2012,West Virginia,20486,11.1,48.4,1.74,74791,132254,138624,52818,24716,65,1758,30
2012,Wisconsin,74525,13.1,54.8,1.97,206773,316855,490203,250695,96596,79.6,3916,20
2012,Wyoming,8039,14.3,61.8,2.22,18710,30441,53619,20023,7369,74.5,519,29
2012,Puerto Rico,40628,10.9,43.6,1.57,190899,200822,298983,183642,57408,56.5,5113,37
2011,United States,4295187,14.0,56.3,2.03,14199366,17517461,24965750,13519322,6093255,72.1,290263,27
2011,Alabama,68722,14.5,58.5,2.11,239509,292142,404380,166369,72306,68.8,5408,32
2011,Alaska,12976,18.5,73.8,2.66,28984,41955,64577,29380,10882,73.7,762,30
2011,Arizona,93471,14.7,61.4,2.21,333873,330218,531658,229171,96421,69.2,7601,34
2011,Arkansas,40085,13.8,57.7,2.08,137369,196915,236087,90457,33735,69.8,3844,39
2011,California,534484,14.5,56.4,2.03,2204356,1851764,3012671,1677573,733841,68.3,33027,24
2011,Colorado,71928,14.5,57.6,2.07,209924,240069,403096,276362,118904,74.7,4537,28
2011,Connecticut,43263,12.2,49.4,1.78,136556,187825,262377,181399,107719,76,2260,18
2011,Delaware,10665,12.0,48.2,1.73,37289,55474,71932,37572,19041,74.3,391,12
2011,District of Columbia,7809,13.1,43.1,1.55,22697,29843,41964,44860,41702,74.2,647,28
2011,Florida,224473,12.0,50.7,1.83,789827,1122913,1493389,722654,295686,72.7,14663,25
2011,Georgia,145038,15.1,57.8,2.08,484060,610424,786217,428665,201069,70.6,10656,31
2011,Hawaii,20050,14.9,63.0,2.27,40877,80441,113810,60520,22831,73.7,1202,29
2011,Idaho,27222,17.6,73.9,2.66,66157,89848,138594,57471,16520,70.7,1670,30
2011,Illinois,178598,14.0,55.5,2.00,568611,680396,1021169,643804,305288,73.6,11917,26
2011,Indiana,90139,14.0,57.0,2.05,298133,421075,528424,247674,86110,73,6673,29
2011,Iowa,41905,13.8,58.9,2.12,107673,150189,279348,132528,42130,79.9,2224,21
2011,Kansas,43505,15.4,64.1,2.31,114191,139859,241111,132502,51239,76.7,2685,27
2011,Kentucky,59948,13.9,56.8,2.05,194712,283250,362521,140417,74091,69.8,4867,34
2011,Louisiana,67481,15.0,60.0,2.16,230830,319841,356648,160759,56753,69.2,6105,38
2011,Maine,14851,11.2,47.5,1.71,41498,86620,106103,55947,22184,76.5,772,18
2011,Maryland,81661,14.2,55.1,1.98,228171,317899,444791,302652,188759,77.3,4228,21
2011,Massachusetts,80541,12.4,48.3,1.74,240126,327684,486900,389207,225126,75.8,3379,15
2011,Michigan,127208,12.8,52.8,1.90,400683,555111,895080,383333,176233,73.4,8689,24
2011,Minnesota,77305,14.6,59.6,2.14,186901,240940,474446,288039,107503,80.5,3765,21
2011,Mississippi,44318,15.0,60.2,2.17,153029,180556,270380,92491,39525,68.1,4615,41
2011,Missouri,81434,13.7,56.0,2.02,256320,345871,493423,245113,113208,75.2,5713,27
2011,Montana,13287,13.5,58.8,2.12,35081,55614,79244,42731,13288,75.1,983,29
2011,Nebraska,27880,15.4,64.3,2.31,69319,87319,161600,85002,30510,79.8,1499,23
2011,Nevada,40068,15.0,60.6,2.18,149559,171706,216645,88795,34156,72.4,2648,31
2011,New Hampshire,14523,11.0,44.9,1.62,43528,74897,107957,66836,29940,77.4,529,11
2011,New Jersey,118487,13.5,54.4,1.96,346053,503187,599446,498913,231144,72.9,4153,14
2011,New Mexico,30350,14.9,62.3,2.24,110325,112091,171121,62624,31117,68.5,3373,46
2011,New York,250268,13.0,50.4,1.82,890580,1044157,1444386,982218,600116,70.9,11687,17
2011,North Carolina,133537,14.2,56.4,2.03,427520,509626,831288,432951,165676,72.5,10615,33
2011,North Dakota,9588,14.4,60.8,2.19,19574,29690,64974,34528,8827,81.2,437,19
2011,Ohio,151230,13.1,54.2,1.95,465852,732787,942506,445397,201504,74.6,11169,28
2011,Oklahoma,54036,14.5,60.4,2.18,170614,236109,307092,136459,43941,70,4749,37
2011,Oregon,49938,13.1,54.6,1.97,161811,197293,325401,159325,71059,72.9,2632,21
2011,Pennsylvania,154198,12.2,50.6,1.82,476975,842063,918416,549659,257271,73.1,9771,22
2011,Rhode Island,12998,12.3,48.5,1.75,42746,58380,91928,50732,24113,75.9,645,16
2011,South Carolina,65382,14.3,57.9,2.08,206714,292045,385690,170258,75003,71.8,5521,35
2011,South Dakota,11974,14.8,63.8,2.30,30720,42587,69060,34619,10598,80.1,651,23
2011,Tennessee,94686,15.0,60.7,2.18,280224,440067,495298,242328,102787,70.9,7481,35
2011,Texas,409522,16.5,64.6,2.33,1479673,1450883,2006061,1024829,375395,68.3,39495,44
2011,Utah,53674,19.8,77.8,2.80,118234,150276,273906,115512,31806,69.1,2263,21
2011,Vermont,6477,10.4,42.9,1.54,19332,36065,49663,31276,14587,78.3,255,11
2011,Virginia,106710,13.5,52.6,1.89,316323,431938,635218,422451,221444,73.8,5606,21
2011,Washington,94820,14.3,57.5,2.07,279304,338227,591865,305465,135115,72.1,4979,22
2011,West Virginia,19772,10.7,46.3,1.67,77989,136866,135751,52755,23771,64.8,1895,32
2011,Wisconsin,75116,13.3,54.8,1.97,209670,333312,487449,246991,94002,79.6,4337,22
2011,Wyoming,7586,13.7,58.3,2.10,19290,31154,52689,19749,7279,74.8,590,32
2011,Puerto Rico,42281,11.3,44.8,1.61,200939,209015,296003,183181,54825,56.2,5703,41
2010,United States,4308790,14.2,56.5,2.03,14365180,18086559,24530211,13375042,5918930,72.1,300255,28
2010,Alabama,66445,14.1,56.6,2.04,243800,300474,394448,164317,70934,68.7,5774,34
2010,Alaska,12974,18.8,74.1,2.67,30247,43431,62986,28019,10368,73.9,850,32
2010,Arizona,93740,15.0,62.1,2.24,333426,334322,518380,227881,95641,69.2,8112,37
2010,Arkansas,40505,14.1,58.4,2.10,138092,203425,229716,89408,33491,70.1,4184,42
2010,California,534384,14.6,56.5,2.03,2227471,1893727,2955575,1665294,713641,68.2,33880,25
2010,Colorado,71406,14.6,57.5,2.07,214069,246485,395034,271449,114122,74.5,4514,28
2010,Connecticut,43991,12.4,50.0,1.80,135749,196795,260187,180824,105682,75.7,2304,19
2010,Delaware,11206,12.7,50.6,1.82,38288,58748,69039,37174,18296,74.5,540,17
2010,District of Columbia,8121,13.9,45.8,1.65,24782,30115,39792,43131,39442,74.5,727,32
2010,Florida,227748,12.3,51.5,1.85,797553,1154752,1460148,718614,289930,72.6,15609,26
2010,Georgia,143991,15.2,57.7,2.08,487681,627112,763104,425567,193473,70.7,11243,32
2010,Hawaii,18847,14.1,59.0,2.13,40439,83013,112467,60935,22326,74,1038,25
2010,Idaho,26609,17.4,72.4,2.61,67875,92908,135154,55572,15881,71,1745,31
2010,Illinois,181623,14.3,56.2,2.02,579943,698597,1021626,634220,297934,73.4,11805,26
2010,Indiana,90479,14.1,57.0,2.05,302897,435780,520386,243041,84993,73.3,6917,30
2010,Iowa,43176,14.3,60.3,2.17,109760,156750,277117,131711,40422,80.2,2360,22
2010,Kansas,43262,15.4,63.6,2.29,116339,147840,236942,129566,49772,76.8,2782,28
2010,Kentucky,60114,14.0,56.8,2.04,197847,294574,355674,138049,72384,69.7,5199,36
2010,Louisiana,66432,15.0,59.3,2.13,235300,324300,346520,158491,55598,69.2,6501,40
2010,Maine,15037,11.3,47.5,1.71,43596,91593,104810,55229,21408,76.2,759,17
2010,Maryland,83368,14.6,56.1,2.02,231564,328728,440340,302384,183086,77.2,4253,21
2010,Massachusetts,79629,12.3,47.6,1.71,240414,343180,477406,390632,221382,75.7,3375,15
2010,Michigan,130487,13.1,53.4,1.92,410077,584246,893923,384411,172257,73.5,9186,25
2010,Minnesota,78175,14.9,60.0,2.16,187972,252682,475033,285229,102963,80.5,4058,22
2010,Mississippi,45879,15.6,62.1,2.24,157051,188506,262749,92658,37872,68.3,5001,45
2010,Missouri,80249,13.6,54.9,1.98,261149,362812,484846,242547,109523,75.2,5678,27
2010,Montana,13439,13.8,59.2,2.13,36566,57013,78402,42307,12676,75.1,1131,33
2010,Nebraska,28898,16.1,66.5,2.39,69585,91274,159877,84224,29524,79.6,1562,25
2010,Nevada,39518,15.0,60.4,2.17,146627,174292,213835,85756,33600,72.5,2675,31
2010,New Hampshire,14831,11.3,45.4,1.63,44255,79614,106174,67596,29020,77.2,631,13
2010,New Jersey,119743,13.7,54.7,1.97,350028,519722,594994,496663,226479,72.8,4576,16
2010,New Mexico,29604,14.7,60.7,2.18,110761,117250,167699,61594,30530,68.6,3333,45
2010,New York,250659,13.0,50.4,1.81,900379,1086857,1428580,974476,585919,70.8,12577,19
2010,North Carolina,133140,14.4,56.7,2.04,428738,528830,808043,424527,158551,72.6,11161,35
2010,North Dakota,9272,14.1,58.8,2.12,20009,31507,64109,33504,8461,81,477,20
2010,Ohio,153737,13.4,54.6,1.97,475321,767993,933640,444575,194262,74.7,11262,28
2010,Oklahoma,52619,14.3,58.9,2.12,172789,242546,301771,133362,42212,70.1,4826,37
2010,Oregon,50439,13.4,55.2,1.99,164297,202650,320491,157729,68276,73.1,2840,23
2010,Pennsylvania,154383,12.2,50.5,1.82,484566,874381,906208,545276,249240,73,9626,21
2010,Rhode Island,13023,12.3,48.1,1.73,44281,61334,90336,50192,24503,75.3,653,16
2010,South Carolina,63251,14.0,56.2,2.02,208978,302667,372459,168030,72562,72.2,5498,34
2010,South Dakota,12046,15.1,64.1,2.31,30550,44592,67919,34807,9985,80,609,21
2010,Tennessee,95958,15.4,61.6,2.22,287685,449155,485575,236850,99428,70.7,7777,37
2010,Texas,409412,16.8,65.4,2.35,1485486,1474731,1944541,999818,360222,68.3,39989,45
2010,Utah,54739,20.6,80.5,2.90,117270,152355,267564,111546,30949,69.3,2406,22
2010,Vermont,6669,10.7,43.6,1.57,19895,38138,49389,31120,14505,78.5,330,14
2010,Virginia,105640,13.5,52.3,1.88,319765,447823,623595,416684,212365,73.9,5752,21
2010,Washington,95585,14.6,58.2,2.09,281612,346125,582979,301218,131657,72.3,5191,23
2010,West Virginia,20438,11.1,47.5,1.71,78918,142386,134370,52300,22390,64.7,1977,33
2010,Wisconsin,76107,13.5,55.2,1.99,213334,346129,482596,245545,92184,79.9,4326,22
2010,Wyoming,7763,14.2,59.9,2.16,20104,32300,51663,18990,6609,75.1,676,37
2010,Puerto Rico,43201,11.5,45.3,1.63,210539,215595,293065,182491,52570,56,5725,40
2009,United States,4263387,14.1,56.2,2.02,14235636,18483710,24121706,13200960,5754821,72.1,290876,28
2009,Alabama,66776,14.4,57.6,2.07,239747,304964,382232,162931,69666,68.6,6053,38
2009,Alaska,12413,18.2,70.6,2.54,30069,45584,62168,27609,10439,73.9,726,28
2009,Arizona,94426,14.9,62.0,2.23,338219,351027,509779,229385,95423,69.1,7555,36
2009,Arkansas,40916,14.4,59.1,2.13,135932,207921,224165,90307,33455,70.5,4337,44
2009,California,527955,14.5,56.9,2.05,2182361,1908135,2867100,1634105,692998,68,32143,25
2009,Colorado,70451,14.5,57.0,2.05,212334,252770,393556,267450,110365,74.6,4494,28
2009,Connecticut,42899,12.3,49.1,1.77,133056,198971,258374,179256,104190,75.3,1979,16
2009,Delaware,11083,12.8,50.9,1.83,36738,59728,66633,36904,17936,74.9,543,18
2009,District of Columbia,8174,13.9,47.8,1.72,26108,31566,38744,37516,37222,74.3,744,33
2009,Florida,229442,12.6,53.0,1.91,779020,1151628,1409788,705697,279136,72.5,15482,27
2009,Georgia,141572,14.9,56.7,2.04,485672,640550,748914,429134,191572,71.1,10671,32
2009,Hawaii,18473,14.4,60.4,2.17,37720,80456,106929,58810,21906,73.6,937,25
2009,Idaho,26057,17.5,71.7,2.58,66985,93615,133775,53339,15503,71.2,1794,32
2009,Illinois,180178,14.1,55.5,2.00,579159,721802,1030635,627434,287011,73.3,12066,27
2009,Indiana,90950,14.3,57.6,2.07,300370,445893,513288,237741,82646,73.5,6728,30
2009,Iowa,43694,14.7,60.8,2.19,108289,163731,276998,131228,38708,80.2,2592,24
2009,Kansas,43060,15.5,63.1,2.27,113817,154001,238381,128231,47993,76.8,2767,28
2009,Kentucky,60962,14.3,57.2,2.06,198879,305927,351725,138002,71156,69.7,4883,35
2009,Louisiana,66946,15.2,59.2,2.13,236998,337400,345404,156840,54858,69.1,6550,41
2009,Maine,15683,11.9,48.8,1.76,44659,94344,105673,55945,20483,76.1,935,21
2009,Maryland,83248,14.8,56.4,2.03,227998,335422,436127,299251,177043,76.9,4604,23
2009,Massachusetts,78226,12.0,46.4,1.67,241999,356582,475420,390584,220399,75.4,3348,14
2009,Michigan,133265,13.3,53.2,1.92,421450,622940,903968,387021,168574,73.2,8784,24
2009,Minnesota,76705,14.8,58.8,2.12,184852,260488,475357,283018,100761,80.5,3963,22
2009,Mississippi,46342,15.9,62.8,2.26,160210,196811,254238,90734,36467,68.7,4726,43
2009,Missouri,80082,13.6,54.3,1.95,266865,377843,482387,242066,106071,75.2,5967,29
2009,Montana,12298,12.9,53.6,1.93,36683,59911,79748,40797,12136,75.6,1185,35
2009,Nebraska,28894,16.3,66.8,2.40,68301,94181,159552,82874,27852,79.4,1807,28
2009,Nevada,36624,14.4,58.8,2.12,141261,168132,200180,81975,31838,72.4,2321,29
2009,New Hampshire,14368,10.9,43.2,1.55,45261,82431,109162,67757,28359,77.2,685,14
2009,New Jersey,118260,13.7,54.6,1.97,344444,522308,587362,493027,218066,72.6,4692,17
2009,New Mexico,29701,15.1,61.6,2.22,108790,119567,161550,61536,30409,69.2,3523,50
2009,New York,245096,12.6,49.0,1.77,899687,1123536,1422140,969762,583649,70.6,12289,18
2009,North Carolina,127907,14.1,55.8,2.01,417487,535427,777295,411252,150765,72.7,10244,33
2009,North Dakota,9400,14.7,60.2,2.17,19639,33332,63979,32052,7132,80.4,647,27
2009,Ohio,155597,13.5,54.4,1.96,486002,809233,927907,443372,191220,74.6,10794,27
2009,Oklahoma,53577,14.8,60.6,2.18,172074,245305,294308,131663,41437,69.9,4747,38
2009,Oregon,49414,13.3,54.2,1.95,160965,208882,319747,155891,66593,73.1,2577,21
2009,Pennsylvania,154050,12.3,50.3,1.81,485079,903566,894727,535279,242300,72.8,9123,20
2009,Rhode Island,12475,11.8,46.0,1.66,43882,64219,88233,50147,24657,75.8,578,15
2009,South Carolina,61349,13.9,55.5,2.00,207879,306856,357377,164559,68354,72.3,4939,32
2009,South Dakota,12153,15.3,64.1,2.31,30601,46210,68811,34442,9670,80.3,779,27
2009,Tennessee,93449,15.2,60.2,2.17,287929,457973,475649,235199,95529,70.9,7386,36
2009,Texas,398982,16.8,65.6,2.36,1451514,1460900,1866999,962853,340298,68.3,37197,44
2009,Utah,53187,20.1,77.8,2.80,115316,156178,273218,109148,30217,70.1,2357,22
2009,Vermont,6442,10.4,41.5,1.49,21001,39269,49130,32215,13766,78.3,349,15
2009,Virginia,105402,13.7,52.8,1.90,314619,457429,607030,412436,203076,73.9,5946,22
2009,Washington,91002,14.1,55.9,2.01,276822,351368,574855,297961,127046,72.4,4690,22
2009,West Virginia,20658,11.4,47.8,1.72,79655,146712,132902,50671,22237,64.8,1978,34
2009,Wisconsin,75674,13.5,54.3,1.96,211834,358118,487562,245403,90197,79.7,4072,20
2009,Wyoming,7450,14.2,58.8,2.12,19405,32568,50525,18151,6037,76.2,600,33
2009,Puerto Rico,44795,11.4,44.3,1.60,226443,227689,308323,194562,53053,55.7,5876,40
